PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
I-75 Ramp,,Knox,47000180R,TDOT,,47000180R,ACTIVE,,-83.95605789,35.99939687,,,,,,,,,,,,,,,,,,,,6042,7577,5903,8783,7821
I-75,Ramp 1A,Knox,47000175R,TDOT,,47000175R,ACTIVE,,-83.9795109,35.97046186,,,,,,,,,,,,,,,,,,,,,,3163,3321,3284
I-75,Ramp 3A,Knox,47000125R,TDOT,,47000125R,ACTIVE,,-83.96168889,35.99651387,,,,,,,,,,,,,,,,,,,,,,19342,23556,23297
I-75,Ramp 3F,Knox,47000128R,TDOT,,47000128R,ACTIVE,,-83.96032889,36.00106887,,,,,,,,,,,,,,,,,,,,,,17700,23246,22511
I-640,Ramp 6F,Knox,47000132R,TDOT,,47000132R,ACTIVE,,-83.92461488,36.01665087,,,,,,,,,,,,,,,,,,,,,,12886,16927,17779
I-640,Ramp 6A,Knox,47000178R,TDOT,,47000178R,ACTIVE,,-83.92321088,36.01742187,,,,,,,,,,,,,,,,,,,,,,3376,5015,4527
I-640,Ramp 6D,Knox,47000131R,TDOT,,47000131R,ACTIVE,,-83.92323788,36.01888487,,,,,,,,,,,,,,,,,,,,,,11519,16355,15817
I-640,Ramp 06E,Knox,47000134R,TDOT,,47000134R,ACTIVE,,-83.92150288,36.01885687,,,,,,,,,,,,,,,,,,,,,,1533,2560,2003
I-640,Ramp 6C,Knox,47000133R,TDOT,,47000133R,ACTIVE,,-83.92042388,36.02023488,,,,,,,,,,,,,,,,,,,,,,5395,7565,6986
James White Parkway,N of Wynn Ave Underpass,Knox,47000598,TDOT,,,ACTIVE,,-83.894706,35.950131,,,,,,,,,,,,,,,,,,,,,,,9712,9605
Bransville Rd,S of Millertown Pk,Knox,47000341,TDOT,,93000341,ACTIVE,,-83.81275585,36.05304689,664,511,552,650,536,679,601,570,511,564,532,574,544,484,440,477,430,461,491,547,473,399,399,413
I-640,N of I-40,Knox,47000274,TDOT,,93000274,ACTIVE,,-83.97361852,35.96084884,71488,69396,75273,69622,72153,74311,75760,71481,69290,68035,63815,70588,70943,73550,77933,75622,77838,77296,72197,81749,97540,86616,90947,95838
Pellissippi Py,S of Dutchtown Rd,Knox,47000275,TDOT,,93000275,ACTIVE,,-84.12843146,35.92088815,46088,41874,45592,54803,48956,51957,58449,47850,52084,53647,65650,65345,65274,67269,67708,72345,71617,74681,81720,77699,87154,88026,70019,69195
I-40,E of Oglesby Rd Underpass,Knox,47000276,TDOT,,93000276,ACTIVE,,-83.79640846,36.00496899,69464,77305,76950,75162,74781,69899,72430,69164,71047,70398,90897,84108,68796,72039,85281,66137,70031,69328,75158,74120,75413,74140,77847,79279
I-40,W of McCarty Rd,Knox,47000277,TDOT,,93000277,ACTIVE,,-83.73976064,36.00350803,69292,75692,73708,70715,70422,67198,69980,66743,69269,68028,88485,80829,65332,68013,81121,62490,65474,65493,71000,69965,70479,72058,86972,85440
Tazewell Pk,N of Luttrell Rd,Knox,47000283,TDOT,,93000283,ACTIVE,,-83.88314887,36.07071189,12777,12548,12150,12593,13282,13889,14358,12918,14436,13676,14107,13046,12903,12525,12766,12988,14806,14430,14282,15027,14280,8902,14067,14668
Loves Creek Rd,S of Old Millertown Pk,Knox,47000388,TDOT,,93000388,ACTIVE,,-83.86479087,36.03182688,5290,7843,6406,5050,5088,5241,4868,5222,4953,4821,4665,4721,4220,4368,4278,4261,4304,5073,5209,5226,5023,4451,5056,5514
Vine Av,W of Kellar St,Knox,47000390,TDOT,,93000390,ACTIVE,,-83.90151787,35.97646587,4517,4574,4319,4243,4041,4491,4368,4118,4180,4412,5185,5031,3390,3280,3408,3396,3138,3300,3333,3114,3340,3543,3572,3513
Summit Hill Dr,W of Walnut St,Knox,47000392,TDOT,,93000392,ACTIVE,,-83.9219873,35.96578684,23488,15223,18194,15067,17197,15534,16218,18647,19399,17931,18212,19063,18544,12405,14015,11717,12069,12835,14288,11485,11427,10147,10654,13291
Callahan Dr,Between Keck Rd & Wilbanks Rd,Knox,47000393,TDOT,,93000393,ACTIVE,,-84.00383391,36.02111187,9823,10686,10399,11381,11942,12542,20430,21089,22951,22417,22428,20629,22767,26181,24188,26612,26071,26986,26644,26487,28448,23724,26210,28220
Grand Av,E of 13th St,Knox,47000394,TDOT,,93000394,ACTIVE,,-83.92925388,35.96393786,2033,2272,2094,2001,1739,1791,1612,1509,1622,1560,1834,1889,1399,1460,1610,1623,1847,1870,1889,2011,1915,1241,1179,1705
11th St,N of Highland Ave,Knox,47000396,TDOT,,93000396,ACTIVE,,-83.92678288,35.96303386,9940,8601,9611,8422,9446,7634,7575,6967,7048,7282,7281,6377,6314,6503,6073,6174,6585,5862,6118,6860,5870,3931,3738,4842
S 17th St,S of Highland Ave,Knox,47000359,TDOT,,93000359,ACTIVE,,-83.93400288,35.95936086,12331,12645,12348,13839,13392,12413,11715,11116,11449,10528,10510,11291,11316,11168,10858,11883,12002,12795,13367,11863,11583,13818,13336,11692
James White Pkwy,N of Anita Dr,Knox,47000360,TDOT,,93000360,ACTIVE,,-83.89740658,35.96198507,9561,10027,10233,17102,20272,20880,21506,16583,17080,17592,17100,15846,16486,16816,17220,14280,12410,14452,14597,20679,14160,12490,11683,15803
S Northshore Dr,E of Concord Rd,Knox,47000361,TDOT,,93000361,ACTIVE,,-84.13428394,35.86064283,7564,11381,9173,9887,9036,8820,10107,9769,9429,9411,8802,9802,9621,9372,10453,11846,12099,12576,13709,13682,13523,13793,17152,15495
Harvey Rd,N of Northshore Dr,Knox,47000362,TDOT,,93000362,ACTIVE,,-84.17312795,35.83281383,1397,2405,2000,2143,2809,3221,3249,3363,3210,2768,2568,3096,3033,2927,3012,3743,3694,3924,4265,4769,4615,4753,5917,5308
Kingston Pk,E of Everett Rd,Knox,47000363,TDOT,,93000363,ACTIVE,,-84.19716796,35.86624483,16831,15853,16904,18194,19258,19773,19534,19995,19640,19705,19274,18885,18220,18047,22262,22564,23850,22569,23233,23637,22258,19421,26329,24520
Oak Ridge Hwy,E of Pellissippi Pkwy,Knox,47000364,TDOT,,93000364,ACTIVE,,-84.17170195,35.97930786,10095,10544,10312,10338,10920,11668,12497,12201,10639,10781,11597,11033,11488,11997,10969,11682,10495,11917,12268,10957,13115,9865,10611,10425
Andersonville Pk,E of Norris Fwy,Knox,47000365,TDOT,,93000365,ACTIVE,,-83.9755359,36.11771389,917,1025,1065,989,861,1087,1120,893,796,885,914,879,993,1011,1034,970,985,1012,1032,986,1126,884,1048,1011
Rutledge Pk,W of Roberts Rd,Knox,47000366,TDOT,,93000366,ACTIVE,,-83.77306465,36.0718838,13458,12328,11360,11375,13391,13921,13128,13449,12717,13542,10577,11592,11745,10540,10229,11367,11622,13167,13864,13249,14663,11596,12136,12356
Westland Dr,W of Dartford Rd,Knox,47000367,TDOT,,93000367,ACTIVE,,-84.03084191,35.91362585,7257,6948,7264,9858,8406,9129,9121,9122,9250,7972,8401,8110,8547,8433,8613,8152,8234,8267,9213,9757,10660,8217,8926,10234
